sample_id,source_text,translation,sentence_type,relation_context
S025,Adds a nest of spiders to your transmat effects.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S028,"By aligning with the Festival Flame, you do more damage with Void power.",[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S029,Defeat combatants with precision final blows in Nightmare Hunts.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S030,Adds a phosphene appearance to your transmat effects.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S032,Greatly increases charge rate and guard resistance.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S033,Faster ready and stow speed for Trace Rifles.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S034,Dimensional Tithes,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S035,Body shots landed with this weapon increase precision damage and aim assist for a short time. Body shots landed while the perk is active refresh the time.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S036,Earn bonus Enhancement Prisms when completing ritual activities.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S037,Final blows with this weapon grant Super energy. This weapon gains bonus damage once your Super expires.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S038,Rapidly defeat combatants or Guardians with Auto Rifle final blows.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S039,Summon your Throwing Hammer back to you.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S040,Overflows the magazine based on the number of rapid final blows before reloading. Improves reload.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S041,+5 Class ▲,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S042,Prosperity (Vanguard),[DRY_RUN],perk,- Caiatl allied_with Vanguard (confidence: high)\n- Savathun enemy_of Vanguard (confidence: high)\n- Dredgen Bael enemy_of Vanguard (confidence: high)\n- Mara Sov politically_cooperates_with Vanguard (confidence: medium)
S043,Increased damage against Taken enemies.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S044,Move faster while guarding with the Unbreakable shield. Damage blocked with Unbreakable is converted to grenade energy.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S045,Healing grenades spawn a Restorative Turret. Healing allies occasionally spawns an Orb of Power.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S046,Improved Drengr's Lash. Gain Woven Mail when suspending targets.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S047,"Equip this tier 5 weapon ornament to change the appearance of Burden of Guilt. Once you get an ornament, it's unlocked for all characters on your account.",[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S048,Heal yourself when using your class ability.  This modifier is only available during Solstice.,[DRY_RUN],perk,- No explicit relation context found. Use neutral default tone for this sentence type.
S049,Do you deserve it?,[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S050,"""He is the closest thing I will ever have to a son.""",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S051,"""Under a sturdy enough helmet, no one can see how damaged you are."" —Reed-7, Exo Titan",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S052,"""I have foreseen the work that will bring this system together. I'll need your strength."" —Emperor Calus",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S053,"Do you believe in the Gaiaforms, the energies within planets?",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S054,"""Many regard the Hive as mere monsters. But they are so much more. Their minds are sharp, like their blades."" —Eris Morn",[DRY_RUN],dialogue,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S055,"At the edge of the universe, I stared into the infinite deep. It stared back, and was pleased. I would become the herald of its victory, and bear witness for all creation.",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S056,"A little bolder. A little more focus. You are almost ready… to cast a Shadow. —Calus, Emperor of the Cabal",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S057,"""We are what we survive. They will not be the Guardians."" —Lord Saladin",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S058,"""There is a place where we can remember who we are."" —Imogen Rife",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S059,"""There is an end to everything."" —Emissary of the Nine",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S060,"""Yours, until the last flame dies and all words have been spoken."" —Shin Malphur to you, as you journey forth into the unknown",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S061,"""I know you."" —Lord Felwinter",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S062,"""Some speculate that the radiolarian fluid is the last vestige of a biological life-form that became the Vex."" —Sister Faora, ""Theories on the Vex""",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S063,"""Have you ever stared into the green soulfire flame? There is terror, but also… something warm."" —Eris Morn",[DRY_RUN],dialogue,- Eris Morn romantic_partner_of The Drifter (confidence: high)\n- The Drifter emotional_anchor_of Eris Morn (confidence: high)\n- Lodi cooperates_with Eris Morn (confidence: medium)
S064,"""Osiris said that he started to pity the Red Legion, getting trapped in here for infinite eternities. I think they're getting exactly what they deserve."" —Sagira",[DRY_RUN],dialogue,- No explicit relation context found. Use neutral default tone for this sentence type.
S065,"""I am lightning, energy unbound, but directed."" The Splicer felt the Arc energy crackling around him and joined with it.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S066,"A TRESPASSER you are not welcome here HOW DID YOU FIND US? ""She sent me."" You are not your queen. A PUPPET defined by scars We have no need of you. WE HAVE OUR OWN PUPPETS L E T H E R S P E A K ""I came to discuss the future.""",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S067,"Sometimes it makes a guy feel better to make fun of someone way worse off than he is. He knows it's a mistake soon as he sets eyes on the giant robot face, though. Maybe somewhere else. He turns and goes, ignoring the dramatic monologue already kicking off behind him.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S068,this will not reach you anything a knife writes would never but no more speaking that time is over Im sorry I see the waves I see the ship sinking the sky is filled with shadow I love you I love you Im alone what hurts me is you are too,[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S069,"Someone else finds him there. He sees himself out, mouth stinging as he takes the stairs. That's it, then. There's nothing for him here. And he was a fool to think there was. Time to go.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S070,"""Even in the dark, I still feel the spark of life within me."" His Gauntlet roared as he drew a wide circle in the air, and the rains began to fall.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S071,"[[Neuron-Sheath key] [Run through, Time and time again] [In Ritual] [In Ceremony] [In Vital Sequence] [Image//History] [Vision//Grace] [Sight//Clairvoyance] [War divinely conjured] [Canvassed data bits] [Symphonic calculation] [Magnitude manufactured] [Order Incomplete]]",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S072,"""There is nothing here, and I have no fear of nothing."" The Splicer saw herself in a hundred places at once, then chose her favorite.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S073,Few weapons have withstood the test of time longer than the trusty SUROS Regime. This is Golden Age tech brought to life by the fastidious engineers at SUROS. Its smart-matter frame is prized among Guardians for both efficiency and rarity. Some things never fall out of fashion.,[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S074,we were young once YOU WENT MAD TRYING TO UNDERSTAND W E W E N T M A D T R Y I N G T O S P E A K This doesn't matter. when you are ready we will take it from you AND YOU WILL BE GLAD OF IT,[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S075,"We treated the ship like its name, like one of the Guardians of old. But I swear to you that Sparrows have personalities, even spirits. I know that sounds crazy, but I believe that. AA's name was cold, and the Sparrow was cold. You couldn't warm it up. But boy it could fly.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S076,"THE RED SHIPS ENTER THE AIR IS HEAVY. Now, when you move, you can actually FEEL the weight of the world. This weight is a gift. you finally have our attention",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S077,"""I am alight, but I will not be consumed."" The Splicer envisioned the fire in his hand, and he closed his fist around it.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S078,"You sought us out. IN SOME SMALL WAY, YOU FOUND US. But discovery always has a price. With curiosity comes consequence. S H E I S N O T R E A D Y SEEK JUDGMENT. GROW.",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S079,"the edge of a system frays like string PATHS ARE CARVED BY MORE THAN RANGERS AND WAYFINDERS Out there in the remnants of old, the echo hums. W E H A D B E E N V I E W E D B E F O R E REMEMBER? DO YOU?",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
S080,"Getting out in the woods could clear his head. Maybe he shouldn't go after all. Familiar energy readings. Not Darkness, not Light, but the in-between stuff. Sterile neutrinos. Makes him think of a time way back when: Moondust and him. And the arrival of the Pyramid fleet…",[DRY_RUN],lore,- No explicit relation context found. Use neutral default tone for this sentence type.
